model,member,experiment
CNRM-CM6-1,r5i1p1f2,ssp370
CNRM-CM6-1,r6i1p1f2,ssp370
CNRM-CM6-1,r1i1p1f2,historical
CNRM-CM6-1,r2i1p1f2,historical
CNRM-CM6-1,r3i1p1f2,historical
CNRM-CM6-1,r4i1p1f2,historical
CNRM-CM6-1,r5i1p1f2,historical
CNRM-CM6-1,r6i1p1f2,historical
CNRM-CM6-1,r11i1p1f2,historical
CNRM-CM6-1,r12i1p1f2,historical
CNRM-CM6-1,r13i1p1f2,historical
CNRM-CM6-1,r14i1p1f2,historical
CNRM-CM6-1,r15i1p1f2,historical
CNRM-CM6-1,r16i1p1f2,historical
CNRM-CM6-1,r17i1p1f2,historical
CNRM-CM6-1,r18i1p1f2,historical
CNRM-CM6-1,r19i1p1f2,historical
CNRM-CM6-1,r20i1p1f2,historical
CNRM-CM6-1,r21i1p1f2,historical
CNRM-CM6-1,r22i1p1f2,historical
CNRM-CM6-1,r23i1p1f2,historical
CNRM-CM6-1,r24i1p1f2,historical
CNRM-CM6-1,r25i1p1f2,historical
CNRM-CM6-1,r26i1p1f2,historical
CNRM-CM6-1,r27i1p1f2,historical
CNRM-CM6-1,r28i1p1f2,historical
CNRM-CM6-1,r29i1p1f2,historical
CNRM-CM6-1,r30i1p1f2,historical
CNRM-CM6-1-HR,r1i1p1f2,ssp370
CNRM-CM6-1-HR,r1i1p1f2,historical
CNRM-ESM2-1,r1i1p1f2,ssp370
CNRM-ESM2-1,r4i1p1f2,ssp370
CNRM-ESM2-1,r5i1p1f2,ssp370
CNRM-ESM2-1,r14i1p1f2,ssp370
CNRM-ESM2-1,r15i1p1f2,ssp370
CNRM-ESM2-1,r1i1p1f2,historical
CNRM-ESM2-1,r2i1p1f2,historical
CNRM-ESM2-1,r3i1p1f2,historical
CNRM-ESM2-1,r12i1p1f2,historical
CNRM-ESM2-1,r13i1p1f2,historical
CNRM-ESM2-1,r14i1p1f2,historical
CNRM-ESM2-1,r15i1p1f2,historical
CanESM5,r1i1p1f1,ssp370
CanESM5,r2i1p1f1,ssp370
CanESM5,r3i1p1f1,ssp370
CanESM5,r4i1p1f1,ssp370
CanESM5,r5i1p1f1,ssp370
CanESM5,r6i1p1f1,ssp370
CanESM5,r7i1p1f1,ssp370
CanESM5,r8i1p1f1,ssp370
CanESM5,r9i1p1f1,ssp370
CanESM5,r10i1p1f1,ssp370
CanESM5,r1i1p2f1,ssp370
CanESM5,r2i1p2f1,ssp370
CanESM5,r3i1p2f1,ssp370
CanESM5,r4i1p2f1,ssp370
CanESM5,r5i1p2f1,ssp370
CanESM5,r6i1p2f1,ssp370
CanESM5,r7i1p2f1,ssp370
CanESM5,r8i1p2f1,ssp370
CanESM5,r9i1p2f1,ssp370
CanESM5,r10i1p2f1,ssp370
CanESM5,r1i1p1f1,historical
CanESM5,r2i1p1f1,historical
CanESM5,r3i1p1f1,historical
CanESM5,r4i1p1f1,historical
CanESM5,r5i1p1f1,historical
CanESM5,r6i1p1f1,historical
CanESM5,r7i1p1f1,historical
CanESM5,r8i1p1f1,historical
CanESM5,r9i1p1f1,historical
CanESM5,r10i1p1f1,historical
CanESM5,r11i1p1f1,historical
CanESM5,r12i1p1f1,historical
CanESM5,r13i1p1f1,historical
CanESM5,r14i1p1f1,historical
CanESM5,r15i1p1f1,historical
CanESM5,r16i1p1f1,historical
CanESM5,r17i1p1f1,historical
CanESM5,r18i1p1f1,historical
CanESM5,r19i1p1f1,historical
CanESM5,r20i1p1f1,historical
CanESM5,r21i1p1f1,historical
CanESM5,r22i1p1f1,historical
CanESM5,r23i1p1f1,historical
CanESM5,r24i1p1f1,historical
CanESM5,r25i1p1f1,historical
CanESM5,r1i1p2f1,historical
CanESM5,r2i1p2f1,historical
CanESM5,r3i1p2f1,historical
CanESM5,r4i1p2f1,historical
CanESM5,r5i1p2f1,historical
CanESM5,r6i1p2f1,historical
CanESM5,r7i1p2f1,historical
CanESM5,r8i1p2f1,historical
CanESM5,r9i1p2f1,historical
CanESM5,r10i1p2f1,historical
CanESM5-1,r1i1p1f1,ssp370
CanESM5-1,r2i1p1f1,ssp370
CanESM5-1,r3i1p1f1,ssp370
CanESM5-1,r4i1p1f1,ssp370
CanESM5-1,r5i1p1f1,ssp370
CanESM5-1,r6i1p1f1,ssp370
CanESM5-1,r7i1p1f1,ssp370
CanESM5-1,r8i1p1f1,ssp370
CanESM5-1,r9i1p1f1,ssp370
CanESM5-1,r10i1p1f1,ssp370
CanESM5-1,r1i1p2f1,ssp370
CanESM5-1,r2i1p2f1,ssp370
CanESM5-1,r3i1p2f1,ssp370
CanESM5-1,r4i1p2f1,ssp370
CanESM5-1,r5i1p2f1,ssp370
CanESM5-1,r6i1p2f1,ssp370
CanESM5-1,r7i1p2f1,ssp370
CanESM5-1,r8i1p2f1,ssp370
CanESM5-1,r9i1p2f1,ssp370
CanESM5-1,r10i1p2f1,ssp370
CanESM5-1,r1i1p1f1,historical
CanESM5-1,r1i1p2f1,historical
EC-Earth3,r1i1p1f1,ssp370
EC-Earth3,r4i1p1f1,ssp370
EC-Earth3,r5i1p1f1,ssp370
EC-Earth3,r6i1p1f1,ssp370
EC-Earth3,r9i1p1f1,ssp370
EC-Earth3,r11i1p1f1,ssp370
EC-Earth3,r13i1p1f1,ssp370
EC-Earth3,r15i1p1f1,ssp370
EC-Earth3,r101i1p1f1,ssp370
EC-Earth3,r102i1p1f1,ssp370
EC-Earth3,r103i1p1f1,ssp370
EC-Earth3,r104i1p1f1,ssp370
EC-Earth3,r105i1p1f1,ssp370
EC-Earth3,r106i1p1f1,ssp370
EC-Earth3,r107i1p1f1,ssp370
EC-Earth3,r108i1p1f1,ssp370
EC-Earth3,r109i1p1f1,ssp370
EC-Earth3,r110i1p1f1,ssp370
EC-Earth3,r111i1p1f1,ssp370
EC-Earth3,r112i1p1f1,ssp370
EC-Earth3,r113i1p1f1,ssp370
EC-Earth3,r114i1p1f1,ssp370
EC-Earth3,r115i1p1f1,ssp370
EC-Earth3,r116i1p1f1,ssp370
EC-Earth3,r117i1p1f1,ssp370
EC-Earth3,r118i1p1f1,ssp370
EC-Earth3,r119i1p1f1,ssp370
EC-Earth3,r120i1p1f1,ssp370
EC-Earth3,r121i1p1f1,ssp370
EC-Earth3,r122i1p1f1,ssp370
EC-Earth3,r123i1p1f1,ssp370
EC-Earth3,r124i1p1f1,ssp370
EC-Earth3,r125i1p1f1,ssp370
EC-Earth3,r126i1p1f1,ssp370
EC-Earth3,r127i1p1f1,ssp370
EC-Earth3,r128i1p1f1,ssp370
EC-Earth3,r129i1p1f1,ssp370
EC-Earth3,r130i1p1f1,ssp370
EC-Earth3,r131i1p1f1,ssp370
EC-Earth3,r132i1p1f1,ssp370
EC-Earth3,r133i1p1f1,ssp370
EC-Earth3,r134i1p1f1,ssp370
EC-Earth3,r135i1p1f1,ssp370
EC-Earth3,r136i1p1f1,ssp370
EC-Earth3,r137i1p1f1,ssp370
EC-Earth3,r138i1p1f1,ssp370
EC-Earth3,r139i1p1f1,ssp370
EC-Earth3,r140i1p1f1,ssp370
EC-Earth3,r141i1p1f1,ssp370
EC-Earth3,r142i1p1f1,ssp370
EC-Earth3,r143i1p1f1,ssp370
EC-Earth3,r144i1p1f1,ssp370
EC-Earth3,r145i1p1f1,ssp370
EC-Earth3,r146i1p1f1,ssp370
EC-Earth3,r147i1p1f1,ssp370
EC-Earth3,r148i1p1f1,ssp370
EC-Earth3,r149i1p1f1,ssp370
EC-Earth3,r150i1p1f1,ssp370
EC-Earth3,r1i1p1f1,historical
EC-Earth3,r3i1p1f1,historical
EC-Earth3,r4i1p1f1,historical
EC-Earth3,r5i1p1f1,historical
EC-Earth3,r6i1p1f1,historical
EC-Earth3,r9i1p1f1,historical
EC-Earth3,r11i1p1f1,historical
EC-Earth3,r13i1p1f1,historical
EC-Earth3,r15i1p1f1,historical
EC-Earth3,r101i1p1f1,historical
EC-Earth3,r102i1p1f1,historical
EC-Earth3,r103i1p1f1,historical
EC-Earth3,r104i1p1f1,historical
EC-Earth3,r105i1p1f1,historical
EC-Earth3,r106i1p1f1,historical
EC-Earth3,r107i1p1f1,historical
EC-Earth3,r108i1p1f1,historical
EC-Earth3,r109i1p1f1,historical
EC-Earth3,r110i1p1f1,historical
EC-Earth3,r111i1p1f1,historical
EC-Earth3,r112i1p1f1,historical
EC-Earth3,r113i1p1f1,historical
EC-Earth3,r114i1p1f1,historical
EC-Earth3,r115i1p1f1,historical
EC-Earth3,r116i1p1f1,historical
EC-Earth3,r117i1p1f1,historical
EC-Earth3,r118i1p1f1,historical
EC-Earth3,r119i1p1f1,historical
EC-Earth3,r120i1p1f1,historical
EC-Earth3,r121i1p1f1,historical
EC-Earth3,r122i1p1f1,historical
EC-Earth3,r123i1p1f1,historical
EC-Earth3,r124i1p1f1,historical
EC-Earth3,r125i1p1f1,historical
EC-Earth3,r126i1p1f1,historical
EC-Earth3,r127i1p1f1,historical
EC-Earth3,r128i1p1f1,historical
EC-Earth3,r129i1p1f1,historical
EC-Earth3,r130i1p1f1,historical
EC-Earth3,r131i1p1f1,historical
EC-Earth3,r132i1p1f1,historical
EC-Earth3,r133i1p1f1,historical
EC-Earth3,r134i1p1f1,historical
EC-Earth3,r135i1p1f1,historical
EC-Earth3,r136i1p1f1,historical
EC-Earth3,r137i1p1f1,historical
EC-Earth3,r138i1p1f1,historical
EC-Earth3,r139i1p1f1,historical
EC-Earth3,r140i1p1f1,historical
EC-Earth3,r141i1p1f1,historical
EC-Earth3,r142i1p1f1,historical
EC-Earth3,r143i1p1f1,historical
EC-Earth3,r144i1p1f1,historical
EC-Earth3,r145i1p1f1,historical
EC-Earth3,r146i1p1f1,historical
EC-Earth3,r147i1p1f1,historical
EC-Earth3,r148i1p1f1,historical
EC-Earth3,r149i1p1f1,historical
EC-Earth3,r150i1p1f1,historical
EC-Earth3-AerChem,r1i1p1f1,ssp370
EC-Earth3-AerChem,r3i1p1f1,ssp370
EC-Earth3-AerChem,r4i1p1f1,ssp370
EC-Earth3-Veg,r1i1p1f1,ssp370
EC-Earth3-Veg,r2i1p1f1,ssp370
EC-Earth3-Veg,r3i1p1f1,ssp370
EC-Earth3-Veg,r4i1p1f1,ssp370
EC-Earth3-Veg,r12i1p1f1,ssp370
EC-Earth3-Veg,r14i1p1f1,ssp370
EC-Earth3-Veg,r13i1p1f1,historical
EC-Earth3-Veg-LR,r1i1p1f1,ssp370
EC-Earth3-Veg-LR,r2i1p1f1,ssp370
EC-Earth3-Veg-LR,r3i1p1f1,ssp370
FGOALS-g3,r1i1p1f1,ssp370
FGOALS-g3,r2i1p1f1,ssp370
FGOALS-g3,r3i1p1f1,ssp370
FGOALS-g3,r4i1p1f1,ssp370
FGOALS-g3,r5i1p1f1,ssp370
FGOALS-g3,r1i1p1f1,historical
FGOALS-g3,r3i1p1f1,historical
FGOALS-g3,r4i1p1f1,historical
FGOALS-g3,r5i1p1f1,historical
FGOALS-g3,r6i1p1f1,historical
GISS-E2-1-G,r1i1p1f2,ssp370
GISS-E2-1-G,r5i1p1f2,historical
IITM-ESM,r1i1p1f1,ssp370
IITM-ESM,r1i1p1f1,historical
INM-CM4-8,r1i1p1f1,ssp370
INM-CM4-8,r1i1p1f1,historical
INM-CM5-0,r1i1p1f1,ssp370
INM-CM5-0,r2i1p1f1,ssp370
INM-CM5-0,r3i1p1f1,ssp370
INM-CM5-0,r4i1p1f1,ssp370
INM-CM5-0,r5i1p1f1,ssp370
INM-CM5-0,r1i1p1f1,historical
INM-CM5-0,r2i1p1f1,historical
INM-CM5-0,r3i1p1f1,historical
INM-CM5-0,r4i1p1f1,historical
INM-CM5-0,r5i1p1f1,historical
INM-CM5-0,r6i1p1f1,historical
INM-CM5-0,r7i1p1f1,historical
INM-CM5-0,r8i1p1f1,historical
INM-CM5-0,r9i1p1f1,historical
INM-CM5-0,r10i1p1f1,historical
IPSL-CM5A2-INCA,r1i1p1f1,ssp370
IPSL-CM6A-LR,r1i1p1f1,ssp370
IPSL-CM6A-LR,r2i1p1f1,ssp370
IPSL-CM6A-LR,r3i1p1f1,ssp370
IPSL-CM6A-LR,r4i1p1f1,ssp370
IPSL-CM6A-LR,r5i1p1f1,ssp370
IPSL-CM6A-LR,r6i1p1f1,ssp370
IPSL-CM6A-LR,r7i1p1f1,ssp370
IPSL-CM6A-LR,r8i1p1f1,ssp370
IPSL-CM6A-LR,r9i1p1f1,ssp370
IPSL-CM6A-LR,r10i1p1f1,ssp370
IPSL-CM6A-LR,r14i1p1f1,ssp370
IPSL-CM6A-LR,r1i1p1f1,historical
IPSL-CM6A-LR,r2i1p1f1,historical
IPSL-CM6A-LR,r3i1p1f1,historical
IPSL-CM6A-LR,r4i1p1f1,historical
IPSL-CM6A-LR,r5i1p1f1,historical
IPSL-CM6A-LR,r6i1p1f1,historical
IPSL-CM6A-LR,r7i1p1f1,historical
IPSL-CM6A-LR,r8i1p1f1,historical
IPSL-CM6A-LR,r9i1p1f1,historical
IPSL-CM6A-LR,r10i1p1f1,historical
IPSL-CM6A-LR,r11i1p1f1,historical
IPSL-CM6A-LR,r12i1p1f1,historical
IPSL-CM6A-LR,r13i1p1f1,historical
IPSL-CM6A-LR,r14i1p1f1,historical
IPSL-CM6A-LR,r15i1p1f1,historical
IPSL-CM6A-LR,r16i1p1f1,historical
IPSL-CM6A-LR,r17i1p1f1,historical
IPSL-CM6A-LR,r18i1p1f1,historical
IPSL-CM6A-LR,r19i1p1f1,historical
IPSL-CM6A-LR,r20i1p1f1,historical
IPSL-CM6A-LR,r21i1p1f1,historical
IPSL-CM6A-LR,r22i1p1f1,historical
IPSL-CM6A-LR,r23i1p1f1,historical
IPSL-CM6A-LR,r24i1p1f1,historical
IPSL-CM6A-LR,r25i1p1f1,historical
IPSL-CM6A-LR,r26i1p1f1,historical
IPSL-CM6A-LR,r27i1p1f1,historical
IPSL-CM6A-LR,r28i1p1f1,historical
IPSL-CM6A-LR,r29i1p1f1,historical
IPSL-CM6A-LR,r30i1p1f1,historical
IPSL-CM6A-LR,r31i1p1f1,historical
IPSL-CM6A-LR,r32i1p1f1,historical
IPSL-CM6A-LR,r33i1p1f1,historical
KACE-1-0-G,r1i1p1f1,ssp370
KACE-1-0-G,r2i1p1f1,ssp370
KACE-1-0-G,r3i1p1f1,ssp370
KACE-1-0-G,r1i1p1f1,historical
KACE-1-0-G,r2i1p1f1,historical
KACE-1-0-G,r3i1p1f1,historical
MIROC-ES2H,r1i1p4f2,ssp370
MIROC-ES2L,r1i1p1f2,ssp370
MIROC-ES2L,r2i1p1f2,ssp370
MIROC-ES2L,r3i1p1f2,ssp370
MIROC-ES2L,r4i1p1f2,ssp370
MIROC-ES2L,r5i1p1f2,ssp370
MIROC-ES2L,r6i1p1f2,ssp370
MIROC-ES2L,r7i1p1f2,ssp370
MIROC-ES2L,r8i1p1f2,ssp370
MIROC-ES2L,r9i1p1f2,ssp370
MIROC-ES2L,r10i1p1f2,ssp370
MIROC6,r1i1p1f1,ssp370
MIROC6,r2i1p1f1,ssp370
MIROC6,r3i1p1f1,ssp370
MIROC6,r1i1p1f1,historical
MIROC6,r2i1p1f1,historical
MIROC6,r3i1p1f1,historical
MIROC6,r4i1p1f1,historical
MIROC6,r5i1p1f1,historical
MIROC6,r6i1p1f1,historical
MIROC6,r7i1p1f1,historical
MIROC6,r8i1p1f1,historical
MIROC6,r9i1p1f1,historical
MIROC6,r10i1p1f1,historical
MPI-ESM-1-2-HAM,r1i1p1f1,ssp370
MPI-ESM-1-2-HAM,r2i1p1f1,ssp370
MPI-ESM-1-2-HAM,r3i1p1f1,ssp370
MPI-ESM-1-2-HAM,r1i1p1f1,historical
MPI-ESM-1-2-HAM,r2i1p1f1,historical
MPI-ESM-1-2-HAM,r3i1p1f1,historical
MPI-ESM1-2-HR,r1i1p1f1,ssp370
MPI-ESM1-2-HR,r2i1p1f1,ssp370
MPI-ESM1-2-HR,r3i1p1f1,ssp370
MPI-ESM1-2-HR,r4i1p1f1,ssp370
MPI-ESM1-2-HR,r5i1p1f1,ssp370
MPI-ESM1-2-HR,r6i1p1f1,ssp370
MPI-ESM1-2-HR,r7i1p1f1,ssp370
MPI-ESM1-2-HR,r8i1p1f1,ssp370
MPI-ESM1-2-HR,r9i1p1f1,ssp370
MPI-ESM1-2-HR,r10i1p1f1,ssp370
MPI-ESM1-2-HR,r1i1p1f1,historical
MPI-ESM1-2-HR,r2i1p1f1,historical
MPI-ESM1-2-HR,r3i1p1f1,historical
MPI-ESM1-2-HR,r4i1p1f1,historical
MPI-ESM1-2-HR,r5i1p1f1,historical
MPI-ESM1-2-HR,r6i1p1f1,historical
MPI-ESM1-2-HR,r7i1p1f1,historical
MPI-ESM1-2-HR,r8i1p1f1,historical
MPI-ESM1-2-HR,r9i1p1f1,historical
MPI-ESM1-2-HR,r10i1p1f1,historical
MPI-ESM1-2-LR,r1i1p1f1,ssp370
MPI-ESM1-2-LR,r2i1p1f1,ssp370
MPI-ESM1-2-LR,r3i1p1f1,ssp370
MPI-ESM1-2-LR,r4i1p1f1,ssp370
MPI-ESM1-2-LR,r5i1p1f1,ssp370
MPI-ESM1-2-LR,r6i1p1f1,ssp370
MPI-ESM1-2-LR,r7i1p1f1,ssp370
MPI-ESM1-2-LR,r8i1p1f1,ssp370
MPI-ESM1-2-LR,r9i1p1f1,ssp370
MPI-ESM1-2-LR,r10i1p1f1,ssp370
MPI-ESM1-2-LR,r11i1p1f1,ssp370
MPI-ESM1-2-LR,r12i1p1f1,ssp370
MPI-ESM1-2-LR,r13i1p1f1,ssp370
MPI-ESM1-2-LR,r14i1p1f1,ssp370
MPI-ESM1-2-LR,r15i1p1f1,ssp370
MPI-ESM1-2-LR,r16i1p1f1,ssp370
MPI-ESM1-2-LR,r17i1p1f1,ssp370
MPI-ESM1-2-LR,r18i1p1f1,ssp370
MPI-ESM1-2-LR,r19i1p1f1,ssp370
MPI-ESM1-2-LR,r20i1p1f1,ssp370
MPI-ESM1-2-LR,r21i1p1f1,ssp370
MPI-ESM1-2-LR,r22i1p1f1,ssp370
MPI-ESM1-2-LR,r23i1p1f1,ssp370
MPI-ESM1-2-LR,r24i1p1f1,ssp370
MPI-ESM1-2-LR,r25i1p1f1,ssp370
MPI-ESM1-2-LR,r26i1p1f1,ssp370
MPI-ESM1-2-LR,r27i1p1f1,ssp370
MPI-ESM1-2-LR,r28i1p1f1,ssp370
MPI-ESM1-2-LR,r29i1p1f1,ssp370
MPI-ESM1-2-LR,r30i1p1f1,ssp370
MPI-ESM1-2-LR,r31i1p1f1,ssp370
MPI-ESM1-2-LR,r32i1p1f1,ssp370
MPI-ESM1-2-LR,r33i1p1f1,ssp370
MPI-ESM1-2-LR,r34i1p1f1,ssp370
MPI-ESM1-2-LR,r35i1p1f1,ssp370
MPI-ESM1-2-LR,r36i1p1f1,ssp370
MPI-ESM1-2-LR,r37i1p1f1,ssp370
MPI-ESM1-2-LR,r38i1p1f1,ssp370
MPI-ESM1-2-LR,r39i1p1f1,ssp370
MPI-ESM1-2-LR,r40i1p1f1,ssp370
MPI-ESM1-2-LR,r41i1p1f1,ssp370
MPI-ESM1-2-LR,r42i1p1f1,ssp370
MPI-ESM1-2-LR,r43i1p1f1,ssp370
MPI-ESM1-2-LR,r44i1p1f1,ssp370
MPI-ESM1-2-LR,r45i1p1f1,ssp370
MPI-ESM1-2-LR,r46i1p1f1,ssp370
MPI-ESM1-2-LR,r47i1p1f1,ssp370
MPI-ESM1-2-LR,r48i1p1f1,ssp370
MPI-ESM1-2-LR,r49i1p1f1,ssp370
MPI-ESM1-2-LR,r50i1p1f1,ssp370
MPI-ESM1-2-LR,r1i1p1f1,historical
MPI-ESM1-2-LR,r2i1p1f1,historical
MPI-ESM1-2-LR,r3i1p1f1,historical
MPI-ESM1-2-LR,r4i1p1f1,historical
MPI-ESM1-2-LR,r5i1p1f1,historical
MPI-ESM1-2-LR,r6i1p1f1,historical
MPI-ESM1-2-LR,r7i1p1f1,historical
MPI-ESM1-2-LR,r8i1p1f1,historical
MPI-ESM1-2-LR,r9i1p1f1,historical
MPI-ESM1-2-LR,r10i1p1f1,historical
MPI-ESM1-2-LR,r11i1p1f1,historical
MPI-ESM1-2-LR,r12i1p1f1,historical
MPI-ESM1-2-LR,r13i1p1f1,historical
MPI-ESM1-2-LR,r14i1p1f1,historical
MPI-ESM1-2-LR,r15i1p1f1,historical
MPI-ESM1-2-LR,r16i1p1f1,historical
MPI-ESM1-2-LR,r17i1p1f1,historical
MPI-ESM1-2-LR,r18i1p1f1,historical
MPI-ESM1-2-LR,r19i1p1f1,historical
MPI-ESM1-2-LR,r20i1p1f1,historical
MPI-ESM1-2-LR,r21i1p1f1,historical
MPI-ESM1-2-LR,r22i1p1f1,historical
MPI-ESM1-2-LR,r23i1p1f1,historical
MPI-ESM1-2-LR,r24i1p1f1,historical
MPI-ESM1-2-LR,r25i1p1f1,historical
MPI-ESM1-2-LR,r26i1p1f1,historical
MPI-ESM1-2-LR,r27i1p1f1,historical
MPI-ESM1-2-LR,r28i1p1f1,historical
MPI-ESM1-2-LR,r29i1p1f1,historical
MPI-ESM1-2-LR,r30i1p1f1,historical
MPI-ESM1-2-LR,r31i1p1f1,historical
MPI-ESM1-2-LR,r32i1p1f1,historical
MPI-ESM1-2-LR,r33i1p1f1,historical
MPI-ESM1-2-LR,r34i1p1f1,historical
MPI-ESM1-2-LR,r35i1p1f1,historical
MPI-ESM1-2-LR,r36i1p1f1,historical
MPI-ESM1-2-LR,r37i1p1f1,historical
MPI-ESM1-2-LR,r38i1p1f1,historical
MPI-ESM1-2-LR,r39i1p1f1,historical
MPI-ESM1-2-LR,r40i1p1f1,historical
MPI-ESM1-2-LR,r41i1p1f1,historical
MPI-ESM1-2-LR,r42i1p1f1,historical
MPI-ESM1-2-LR,r43i1p1f1,historical
MPI-ESM1-2-LR,r44i1p1f1,historical
MPI-ESM1-2-LR,r45i1p1f1,historical
MPI-ESM1-2-LR,r46i1p1f1,historical
MPI-ESM1-2-LR,r47i1p1f1,historical
MPI-ESM1-2-LR,r48i1p1f1,historical
MPI-ESM1-2-LR,r49i1p1f1,historical
MPI-ESM1-2-LR,r50i1p1f1,historical
MPI-ESM1-2-LR,r1i2000p1f1,historical
MRI-ESM2-0,r1i1p1f1,ssp370
MRI-ESM2-0,r2i1p1f1,ssp370
MRI-ESM2-0,r3i1p1f1,ssp370
MRI-ESM2-0,r4i1p1f1,ssp370
MRI-ESM2-0,r5i1p1f1,ssp370
MRI-ESM2-0,r1i1p1f1,historical
MRI-ESM2-0,r2i1p1f1,historical
MRI-ESM2-0,r3i1p1f1,historical
MRI-ESM2-0,r4i1p1f1,historical
MRI-ESM2-0,r5i1p1f1,historical
MRI-ESM2-0,r6i1p1f1,historical
MRI-ESM2-0,r7i1p1f1,historical
MRI-ESM2-0,r8i1p1f1,historical
MRI-ESM2-0,r9i1p1f1,historical
MRI-ESM2-0,r10i1p1f1,historical
NorESM2-LM,r1i1p1f1,ssp370
NorESM2-LM,r1i1p1f1,historical
NorESM2-LM,r2i1p1f1,historical
NorESM2-LM,r3i1p1f1,historical
NorESM2-MM,r1i1p1f1,ssp370
NorESM2-MM,r1i1p1f1,historical
NorESM2-MM,r2i1p1f1,historical
NorESM2-MM,r3i1p1f1,historical
TaiESM1,r1i1p1f1,ssp370
TaiESM1,r1i1p1f1,historical
UKESM1-0-LL,r1i1p1f2,ssp370
UKESM1-0-LL,r2i1p1f2,ssp370
UKESM1-0-LL,r3i1p1f2,ssp370
UKESM1-0-LL,r4i1p1f2,ssp370
UKESM1-0-LL,r5i1p1f2,ssp370
UKESM1-0-LL,r6i1p1f2,ssp370
UKESM1-0-LL,r7i1p1f2,ssp370
UKESM1-0-LL,r8i1p1f2,ssp370
UKESM1-0-LL,r9i1p1f2,ssp370
UKESM1-0-LL,r10i1p1f2,ssp370
